MRTime	IMSI	SRNCID	BestCellID	SRNTI	RAB	Delay	UE_TXPower	LCS_BIT	Longitude	Latitude	RNCID_1	CellID_1	EcNo_1	RSCP_1	RTT_1	UE_Rx_Tx_1	RNCID_2	CellID_2	EcNo_2	RSCP_2	RTT_2	UE_Rx_Tx_2	RNCID_3	CellID_3	EcNo_3	RSCP_3	RTT_3	UE_Rx_Tx_3	RNCID_4	CellID_4	EcNo_4	RSCP_4	RTT_4	UE_Rx_Tx_4	RNCID_5	CellID_5	EcNo_5	RSCP_5	RTT_5	UE_Rx_Tx_5	RNCID_6	CellID_6	EcNo_6	RSCP_6	RTT_6	UE_Rx_Tx_6
2016-05-04 11:22:24.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497768	31.223275	112937	2	-7.000000	-68.500000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:25.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497772	31.223272	112937	2	-7.130000	-69.130000	37900	52	99186	2	-20.000000	-87.380000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:27.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497770	31.223273	112937	2	-7.750000	-64.500000	37900	52	99186	2	-20.000000	-999.000000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:28.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497770	31.223272	112937	2	-7.000000	-61.500000	37900	52	99186	2	-20.000000	-82.750000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:31.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223275	112937	2	-7.630000	-63.500000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:32.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223275	112937	2	-6.750000	-64.000000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:33.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223275	112937	2	-9.000000	-64.000000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:35.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223275	112937	2	-10.000000	-63.250000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:37.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223275	112937	2	-7.130000	-63.500000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:39.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-9.880000	-63.630000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:40.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-8.130000	-63.630000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:42.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-6.380000	-64.630000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:43.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-7.750000	-69.380000	37900	52	99186	2	-20.000000	-90.500000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:44.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-8.000000	-63.880000	37900	52	99186	2	-20.000000	-85.630000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:47.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497775	31.223273	112937	2	-7.380000	-63.500000	37900	52	99186	2	-20.000000	-88.000000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:48.000	1234567890	112937	2	-999	-999	-999	-999	300	121.497777	31.223272	112937	2	-7.000000	-63.000000	37900	52	99186	2	-20.000000	-88.880000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:51.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497798	31.223253	99284	37	-4.130000	-100.880000	38950	264	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:53.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497815	31.223233	99284	37	-3.380000	-94.630000	38950	264	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:56.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497852	31.223208	99284	37	-3.380000	-97.250000	38950	264	112751	44	-19.130000	-127.130000	39148	479	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:22:58.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497880	31.223192	99284	37	-4.380000	-102.880000	38950	264	112751	44	-17.500000	-127.000000	39148	479	113078	33	-20.000000	-129.630000	38950	450	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:01.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497915	31.223165	99284	37	-4.380000	-102.880000	38950	264	112751	44	-19.880000	-126.880000	39148	479	113078	33	-20.000000	-999.000000	38950	450	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:04.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497947	31.223137	99284	37	-6.000000	-107.130000	38950	264	116156	33	-16.000000	-121.250000	38950	256	112751	44	-18.250000	-125.000000	39148	479	113078	33	-20.000000	-999.000000	38950	450	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:06.000	1234567890	99284	37	-999	-999	-999	-999	300	121.497970	31.223127	99284	37	-6.380000	-107.750000	38950	264	116156	33	-10.500000	-117.000000	38950	256	112751	44	-15.500000	-124.250000	39148	479	113078	33	-20.000000	-999.000000	38950	450	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:09.000	1234567890	99284	37	-999	-999	-999	-999	300	121.498017	31.223102	99284	37	-4.880000	-106.880000	38950	264	116156	33	-11.880000	-117.880000	38950	256	112751	43	-15.500000	-123.380000	39148	477	112751	44	-17.130000	-123.630000	39148	479	113078	33	-20.000000	-999.000000	38950	450	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:11.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498025	31.223090	112937	2	-7.880000	-82.630000	37900	52	99186	2	-13.250000	-88.880000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:13.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498035	31.223077	112937	2	-7.750000	-83.250000	37900	52	99186	2	-20.000000	-94.500000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:15.000	1234567890	99284	37	-999	-999	-999	-999	300	121.498047	31.223060	99284	37	-7.380000	-109.880000	38950	264	116156	33	-13.130000	-117.130000	38950	256	99284	33	-15.880000	-118.380000	38950	97	113078	33	-20.000000	-124.880000	38950	450	112751	44	-19.250000	-125.750000	39148	479	112751	43	-19.000000	-126.130000	39148	477
2016-05-04 11:23:18.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498067	31.223043	112937	2	-8.880000	-85.500000	37900	52	99186	2	-20.000000	-95.630000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:19.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498070	31.223037	112937	2	-11.000000	-83.380000	37900	52	99186	2	-12.250000	-86.000000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:20.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498068	31.223020	112937	2	-8.880000	-83.630000	37900	52	99186	2	-9.500000	-84.380000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:21.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498068	31.223020	112937	2	-8.380000	-85.130000	37900	52	99186	2	-10.250000	-78.250000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:24.000	1234567890	99284	37	-999	-999	-999	-999	300	121.498090	31.222995	99284	37	-9.750000	-111.130000	38950	264	116156	33	-10.000000	-112.000000	38950	256	112751	43	-16.630000	-121.250000	39148	477	112751	44	-18.880000	-123.500000	39148	479	113078	33	-20.000000	-131.750000	38950	450	99284	33	-20.000000	-999.000000	38950	97
2016-05-04 11:23:28.000	1234567890	99186	2	-999	-999	-999	-999	300	121.498108	31.222958	99186	2	-12.250000	-82.000000	37900	222	112937	2	-7.500000	-81.630000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:33.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498105	31.222928	112937	2	-8.130000	-85.000000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:38.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498105	31.222923	112937	2	-9.750000	-83.500000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:39.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498105	31.222923	112937	2	-8.750000	-82.000000	37900	52	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:42.000	1234567890	99284	37	-999	-999	-999	-999	300	121.498103	31.222923	99284	37	-7.000000	-105.750000	38950	264	112751	44	-13.880000	-120.500000	39148	479	112751	43	-16.880000	-123.500000	39148	477	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:45.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498088	31.222920	112937	2	-9.250000	-83.500000	37900	52	99186	2	-12.750000	-84.880000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:46.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498083	31.222915	112937	2	-10.000000	-83.000000	37900	52	99186	2	-13.500000	-86.750000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:47.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498083	31.222915	112937	2	-10.380000	-84.630000	37900	52	99186	2	-12.250000	-85.880000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-04 11:23:48.000	1234567890	112937	2	-999	-999	-999	-999	300	121.498083	31.222917	112937	2	-9.000000	-85.130000	37900	52	99186	2	-15.630000	-86.750000	37900	222	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
